cvegeo,year,ingreso,ponderador
14114,2020,14855.6595391227,5086
14115,2020,11924.107001362,1658
14116,2020,14509.28809421303,5610
14117,2020,13512.51283758073,1396
14118,2020,14352.50656907407,6933
14119,2020,15725.56370659993,7743
14120,2020,23126.68841694497,425194
14121,2020,15192.084020286,9041
14122,2020,11316.48814591843,1963
14123,2020,15215.1278715389,5168
14124,2020,15532.9042268453,17972
14125,2020,15146.9339989617,4891
15001,2020,13194.71976601466,17393
15002,2020,14891.1519322572,45395
15003,2020,12416.1404149245,13109
15004,2020,11230.46757517477,4189
15005,2020,12340.7248320559,42209
15006,2020,13484.84108302667,2925
15007,2020,9776.181015153434,6079
15008,2020,9494.4168510664,6936
15009,2020,14215.32927496227,13447
15010,2020,15455.3593475969,8169
15011,2020,13362.92286409673,18733
15012,2020,16885.97557421993,2856
15013,2020,20800.4809812585,150367
15014,2020,15862.84519744773,27878
15015,2020,11843.2874270333,7506
15016,2020,13989.8234203452,7756
15017,2020,13380.46711478117,2591
15018,2020,13966.5821837653,17283
15019,2020,13880.250898364,8346
15020,2020,18551.03933915393,89711
15021,2020,11727.2112857185,9286
15022,2020,14046.11131701613,3887
15023,2020,13557.24185794877,9865
15024,2020,18429.75009093883,52208
15025,2020,14692.85095049013,104440
15026,2020,11379.67263777253,7853
15027,2020,13505.5931676454,3374
15028,2020,12841.94398116057,7779
15029,2020,12478.7034376014,54664
15030,2020,16148.18178824343,6127
15031,2020,12064.06041461493,180767
15032,2020,9399.9895962211,8467
15033,2020,17801.5258801584,448623
15034,2020,10964.3624042406,2712
15035,2020,15160.18940726937,46672
15036,2020,11999.0626645752,11576
15037,2020,22423.39122053817,82032
15038,2020,13551.1661883302,3016
15039,2020,14729.12450473707,146962
15040,2020,12291.44947661413,9852
15041,2020,8190.114148262001,1679
15042,2020,13578.8021864596,38306
15043,2020,12087.99503609517,7101
15044,2020,15801.48931776527,7638
15045,2020,16230.9102538345,22962
15046,2020,13128.9199094782,5045
15047,2020,10667.77131273407,19033
15048,2020,14417.64228928483,17749
15049,2020,10846.83914718517,3592
15050,2020,12197.40283318757,6884
15051,2020,12142.89678732853,42543
15052,2020,11217.16544900197,7410
15053,2020,16108.29266430457,15278
15054,2020,20754.79449156043,68140
15055,2020,15196.08059139243,3302
15056,2020,11222.47442823273,8174
15057,2020,21647.646399002,240186
15058,2020,16173.9721639591,297958
15059,2020,13101.42653468453,15855
15060,2020,14802.9470357391,114765
15061,2020,14639.54809205477,2888
15062,2020,15964.38704235427,17335
15063,2020,9709.8745465386,8791
15064,2020,10312.29826377203,9215
15065,2020,14766.45104507643,9307
15066,2020,8908.833132269532,1271
15067,2020,11136.732884681,20530
15068,2020,13192.68057405163,7266
15069,2020,10494.01986408507,1231
15070,2020,15249.80006443383,78179
15071,2020,14134.92639783483,4018
15072,2020,13363.76239775943,3772
15073,2020,14664.6625519202,8524
15074,2020,10397.3029284289,32829
15075,2020,14536.98031018097,7703
15076,2020,16208.27594941517,23062
15077,2020,10250.69127725537,1719
15078,2020,9750.403195064666,2631
15079,2020,12569.4915348918,3964
15080,2020,9376.5845276921,6185
15081,2020,17397.74554146393,164394
15082,2020,11062.659669974,19851
15083,2020,13201.14333041107,3731
15084,2020,11379.97017879267,11582
15085,2020,12269.65200324433,17310
15086,2020,9673.797882472534,8632
15087,2020,10559.53014720973,24079
15088,2020,12191.21487824617,25558
15089,2020,12904.50006436513,2876
15090,2020,11184.746548886,21103
15091,2020,15220.72221934057,16139
15092,2020,15582.043411557,15798
